Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
02/11/2023,NEFT CR-YESBN1734986781954-TECHNOVA SOFTWARE SOLUTIONS PVT LTD-FESTIVAL BONUS-NOV23,YESBN1734986781954,02/11/2023,,39196.00,184822.40
02/11/2023,NWD-434358XXXXXX6436-SBIN0001234-ATM CASH WDL,434358XXXXXX6436,02/11/2023,2000.00,,182822.40
02/11/2023,UPI-AIRTEL BROADBAND-airtelbroadband@ybl-YESB0000998-427336123177-BillPayment,427336123177,02/11/2023,1400.12,,181422.28
02/11/2023,UPI-AIRTEL POSTPAID-airtel.postpaid@icici-ICIC0000112-336626127978-BillPayment,336626127978,02/11/2023,569.06,,180853.22
02/11/2023,UPI-PRIYA CHAUHAN-priya773@okicici-YESB0000789-242852408485-Gift,242852408485,02/11/2023,168.25,,180684.97
02/11/2023,UPI-ZEPTO-zeptonow@icici-ICIC0000201-279058072926-Order Payment,279058072926,02/11/2023,476.88,,180208.09
03/11/2023,UPI-ZOMATO-zomato-order@ybl-YESB0000002-254768630061-Order Payment,254768630061,03/11/2023,219.09,,179989.00
03/11/2023,UPI-LOCAL VEGETABLE VENDOR-vegvendor.rk@oksbi-SBIN0008812-342526627345-Payment,342526627345,03/11/2023,53.04,,179935.96
03/11/2023,UPI-DELHI METRO RAIL CORP-dmrcqr@sbi-SBIN0000556-300258690073-Payment from Phone,300258690073,03/11/2023,166.84,,179769.12
03/11/2023,UPI-AUTO RICKSHAW-autofare.delhi@okhdfcbank-HDFC0003344-393169480046-Payment from Phone,393169480046,03/11/2023,72.09,,179697.03
03/11/2023,UPI-PRIYA MALHOTRA-priya383@okhdfcbank-ICIC0000345-491993904461-Rent Split,491993904461,03/11/2023,,159.27,179856.30
04/11/2023,UPI-GOOGLE PLAY-googleplay@apl-AIRP0000090-283783338922-Payment,283783338922,04/11/2023,381.70,,179474.60
04/11/2023,UPI-LOCAL VEGETABLE VENDOR-vegvendor.rk@oksbi-SBIN0008812-257086261232-Order Payment,257086261232,04/11/2023,63.76,,179410.84
04/11/2023,UPI-SHREYA RAO-shreya399@apl-UTIB0000567-264184038967-Payment,264184038967,04/11/2023,144.89,,179265.95
04/11/2023,UPI-XEROX PRINT SHOP-xeroxshop@okaxis-UTIB0002299-249477352393-Order Payment,249477352393,04/11/2023,15.86,,179250.09
04/11/2023,UPI-CAFE COFFEE DAY-ccd.payments@ybl-YESB0000132-284196405871-Order Payment,284196405871,04/11/2023,225.37,,179024.72
05/11/2023,UPI-RAJESH KUMAR VERMA-rajeshverma78@oksbi-SBIN0001122-313205928646-Rent NOV23,313205928646,05/11/2023,18500.00,,160524.72
05/11/2023,ACH D-CULT FITNESS-MEMBERSHIP-CULTFIT925622,CULTFIT835343,05/11/2023,1499.00,,159025.72
05/11/2023,POS 400123XXXXXX7984 FLIPKART BENGALURU,400123XXXXXX7984,06/11/2023,1125.50,,157900.22
05/11/2023,UPI-XEROX PRINT SHOP-xeroxshop@okaxis-UTIB0002299-413071881161-Order Payment,413071881161,05/11/2023,12.38,,157887.84
05/11/2023,UPI-ZOMATO-zomato-order@ybl-YESB0000002-482344879775-UPI,482344879775,05/11/2023,197.09,,157690.75
05/11/2023,POS 512345XXXXXX2461 AMAZON NOIDA,512345XXXXXX2461,06/11/2023,602.18,,157088.57
05/11/2023,UPI-AMAZON-amazon@apl-AIRP0000001-215179669130-Payment from Phone,215179669130,05/11/2023,1019.77,,156068.80
06/11/2023,UPI-AUTO RICKSHAW-autofare.delhi@okhdfcbank-HDFC0003344-313796340525-Payment from Phone,313796340525,06/11/2023,32.16,,156036.64
06/11/2023,UPI-SWIGGY-swiggy.instamart@icici-ICIC0000104-335715604874-Order Payment,335715604874,06/11/2023,257.40,,155779.24
06/11/2023,UPI-ZOMATO-zomato-order@ybl-YESB0000002-383959050082-UPI,383959050082,06/11/2023,269.96,,155509.28
07/11/2023,UPI-MEDPLUS-medplusmart@ybl-YESB0000456-206872504431-Payment,206872504431,07/11/2023,225.91,,155283.37
07/11/2023,POS 434358XXXXXX3603 AMAZON BENGALURU,434358XXXXXX3603,08/11/2023,369.47,,154913.90
07/11/2023,ACH D-HDFC LTD-HOMELOAN EMI-HDFCLTD43491314,HDFCLTD43491314,07/11/2023,17500.00,,137413.90
07/11/2023,ACH D-CAMS NPCI-ICICI PRU MF SIP-12346794,12346794,07/11/2023,6000.00,,131413.90
07/11/2023,UPI-PARKING FEE-smartparking@paytm-PYTM0002211-427677193053-Payment,427677193053,07/11/2023,97.87,,131316.03
07/11/2023,UPI-THE COFFEE HOUSE-thecoffeehouse@okaxis-UTIB0000789-417733449666-Order Payment,417733449666,07/11/2023,225.36,,131090.67
08/11/2023,ECOM PUR/434358XXXXXX7267/NETFLIX.COM,434358XXXXXX7267,08/11/2023,649.00,,130441.67
08/11/2023,UPI-LOCAL VEGETABLE VENDOR-vegvendor.rk@oksbi-SBIN0008812-309512935308-UPI,309512935308,08/11/2023,92.29,,130349.38
09/11/2023,ACH D-CAMS NPCI-HDFC MF SIP-56787658,56787658,09/11/2023,4000.00,,126349.38
09/11/2023,UPI-LOCAL VEGETABLE VENDOR-vegvendor.rk@oksbi-SBIN0008812-437261517545-Order Payment,437261517545,09/11/2023,48.81,,126300.57
10/11/2023,UPI-RAHUL BHATIA-rahul216@paytm-SBIN0002211-385339480453-Rent Split,385339480453,10/11/2023,647.60,,125652.97
11/11/2023,UPI-SPICE GARDEN RESTAURANT-spicegarden22@ybl-YESB0000210-375939798556-Payment from Phone,375939798556,11/11/2023,286.78,,125366.19
11/11/2023,UPI-UBER INDIA-uberindia@hdfcbank-HDFC0000333-444260533831-Payment from Phone,444260533831,11/11/2023,87.10,,125279.09
13/11/2023,UPI-SANJAY KUMAR-sanjay703@ybl-UTIB0000567-332061952535-Gift,332061952535,13/11/2023,117.51,,125161.58
13/11/2023,UPI-NYKAA-nykaa@hdfcbank-HDFC0000212-240997964827-Payment from Phone,240997964827,13/11/2023,355.87,,124805.71
13/11/2023,UPI-CHAI POINT-chaipoint@ybl-YESB0000601-201637299068-Payment from Phone,201637299068,13/11/2023,100.15,,124705.56
14/11/2023,UPI-BSES RAJDHANI POWER-bsesrajdhani@sbi-SBIN0000441-214655692911-ElectricityBill,214655692911,14/11/2023,2749.06,,121956.50
14/11/2023,ECOM PUR/434358XXXXXX8711/AMAZON PRIME,434358XXXXXX8711,14/11/2023,179.00,,121777.50
14/11/2023,UPI-ZOMATO-zomato-order@ybl-YESB0000002-442460832995-Payment,442460832995,14/11/2023,278.32,,121499.18
14/11/2023,POS 400123XXXXXX1343 FLIPKART BENGALURU,400123XXXXXX1343,15/11/2023,1595.67,,119903.51
14/11/2023,UPI-AUTO RICKSHAW-autofare.delhi@okhdfcbank-HDFC0003344-423284566653-UPI,423284566653,14/11/2023,55.99,,119847.52
15/11/2023,UPI-OLA CABS-olacabs@icici-ICIC0000410-421797428932-UPI,421797428932,15/11/2023,76.46,,119771.06
15/11/2023,UPI-ZOMATO-zomato-order@ybl-YESB0000002-426016624203-Payment from Phone,426016624203,15/11/2023,167.96,,119603.10
15/11/2023,UPI-STREET FOOD STALL-streetfoodstall@ybl-YESB0000722-457270062848-Payment,457270062848,15/11/2023,81.26,,119521.84
15/11/2023,UPI-SR TRADERS-srtraders2018@oksbi-SBIN0009988-214787487982-UPI,214787487982,15/11/2023,359.70,,119162.14
16/11/2023,UPI-SWIGGY-swiggy.instamart@icici-ICIC0000104-253450455204-Payment from Phone,253450455204,16/11/2023,259.45,,118902.69
16/11/2023,UPI-KAVITA RAO-kavita68@okicici-YESB0000789-375703871996-For Dinner,375703871996,16/11/2023,71.46,,118831.23
16/11/2023,UPI-AGGARWAL TAILORS-aggarwaltailors@okicici-ICIC0001188-287658907648-Payment,287658907648,16/11/2023,125.89,,118705.34
16/11/2023,UPI-LOCAL VEGETABLE VENDOR-vegvendor.rk@oksbi-SBIN0008812-397146745974-UPI,397146745974,16/11/2023,96.22,,118609.12
16/11/2023,UPI-NYKAA-nykaa@hdfcbank-HDFC0000212-220941902234-Payment from Phone,220941902234,16/11/2023,895.43,,117713.69
18/11/2023,UPI-MOHIT ENTERPRISES-mohitent@ybl-YESB0000501-417657660358-UPI,417657660358,18/11/2023,81.45,,117632.24
18/11/2023,UPI-ANJALI SHARMA-anjali753@ybl-HDFC0000234-407458561771-For Dinner,407458561771,18/11/2023,,380.59,118012.83
18/11/2023,UPI-ZOMATO-zomato-order@ybl-YESB0000002-245781819592-Order Payment,245781819592,18/11/2023,143.84,,117868.99
18/11/2023,UPI-GUPTA KIRANA STORE-guptakirana@oksbi-SBIN0004521-270188908263-Order Payment,270188908263,18/11/2023,795.56,,117073.43
18/11/2023,UPI-RAHUL MALHOTRA-rahul329@okicici-HDFC0000234-210714869229-Gift,210714869229,18/11/2023,493.70,,116579.73
18/11/2023,UPI-HALDIRAM RESTAURANT-haldiram.cp@oksbi-SBIN0007744-391412875494-Order Payment,391412875494,18/11/2023,232.74,,116346.99
18/11/2023,UPI-GOOGLE PLAY-googleplay@apl-AIRP0000090-343050912895-Payment,343050912895,18/11/2023,60.04,,116286.95
19/11/2023,ECOM PUR/512345XXXXXX4269/HOTSTAR,512345XXXXXX4269,19/11/2023,299.00,,115987.95
19/11/2023,UPI-AMIT BHATIA-amit683@okicici-YESB0000789-263977056079-UPI,263977056079,19/11/2023,,289.93,116277.88
19/11/2023,UPI-CHAI POINT-chaipoint@ybl-YESB0000601-281906670346-Payment,281906670346,19/11/2023,18.74,,116259.14
20/11/2023,UPI-LOCAL VEGETABLE VENDOR-vegvendor.rk@oksbi-SBIN0008812-248041678002-Payment from Phone,248041678002,20/11/2023,23.87,,116235.27
20/11/2023,UPI-AUTO RICKSHAW-autofare.delhi@okhdfcbank-HDFC0003344-267430844917-Payment from Phone,267430844917,20/11/2023,107.42,,116127.85
20/11/2023,UPI-HP PETROL PUMP SEC-15-hppcl.sec15@icici-ICIC0000772-440781305524-UPI,440781305524,20/11/2023,795.77,,115332.08
20/11/2023,POS 477845XXXXXX4156 PVR CINEMAS BENGALURU,477845XXXXXX4156,21/11/2023,181.58,,115150.50
21/11/2023,UPI-PARKING FEE-smartparking@paytm-PYTM0002211-235052362714-Payment from Phone,235052362714,21/11/2023,10.70,,115139.80
21/11/2023,UPI-ZOMATO-zomato-order@ybl-YESB0000002-317189913616-Payment,317189913616,21/11/2023,257.04,,114882.76
22/11/2023,UPI-DEEPIKA CHAUHAN-deepika698@ybl-HDFC0000234-344178621020-Rent Split,344178621020,22/11/2023,980.86,,113901.90
22/11/2023,UPI-CHAI POINT-chaipoint@ybl-YESB0000601-276765504248-Order Payment,276765504248,22/11/2023,85.06,,113816.84
22/11/2023,UPI-RAHUL SINGH-rahul602@oksbi-HDFC0000234-396240769256-For Dinner,396240769256,22/11/2023,1026.81,,112790.03
22/11/2023,UPI-BOOKMYSHOW-bookmyshow@ybl-YESB0000345-250141600536-Order Payment,250141600536,22/11/2023,127.98,,112662.05
23/11/2023,UPI-BLINKIT-blinkit.payments@axisbank-UTIB0000123-316754002793-Payment from Phone,316754002793,23/11/2023,672.18,,111989.87
23/11/2023,UPI-OXFORD BOOKSTORE-oxfordbooks.cp@sbi-SBIN0003321-438082304692-UPI,438082304692,23/11/2023,513.79,,111476.08
23/11/2023,UPI-DMART READY-dmartready@ybl-YESB0000045-287583969107-Order Payment,287583969107,23/11/2023,289.62,,111186.46
24/11/2023,UPI-MEERA JOSHI-meera297@oksbi-ICIC0000345-428562714165-Rent Split,428562714165,24/11/2023,231.73,,110954.73
25/11/2023,UPI-BOOKMYSHOW-bookmyshow@ybl-YESB0000345-444889198824-Order Payment,444889198824,25/11/2023,402.43,,110552.30
25/11/2023,UPI-SWIGGY-swiggy.instamart@icici-ICIC0000104-349394786383-Order Payment,349394786383,25/11/2023,254.79,,110297.51
25/11/2023,UPI-NITIN SINGH-nitin726@ybl-YESB0000789-336664386131-For Dinner,336664386131,25/11/2023,316.07,,109981.44
25/11/2023,UPI-BOOKMYSHOW-bookmyshow@ybl-YESB0000345-335178713768-UPI,335178713768,25/11/2023,196.67,,109784.77
25/11/2023,UPI-PARKING FEE-smartparking@paytm-PYTM0002211-445100578466-Payment,445100578466,25/11/2023,59.09,,109725.68
25/11/2023,UPI-STREET FOOD STALL-streetfoodstall@ybl-YESB0000722-383798048861-UPI,383798048861,25/11/2023,42.62,,109683.06
26/11/2023,UPI-ZEPTO-zeptonow@icici-ICIC0000201-376645715695-Payment from Phone,376645715695,26/11/2023,238.45,,109444.61
26/11/2023,UPI-GUPTA KIRANA STORE-guptakirana@oksbi-SBIN0004521-363255632593-Order Payment,363255632593,26/11/2023,273.76,,109170.85
26/11/2023,UPI-OYO ROOMS-oyorooms@ybl-YESB0000678-416139436984-UPI,416139436984,26/11/2023,1794.64,,107376.21
26/11/2023,UPI-PARKING FEE-smartparking@paytm-PYTM0002211-233214785643-UPI,233214785643,26/11/2023,102.37,,107273.84
26/11/2023,UPI-ZOMATO-zomato-order@ybl-YESB0000002-402201518383-Payment,402201518383,26/11/2023,94.79,,107179.05
26/11/2023,UPI-DMART READY-dmartready@ybl-YESB0000045-375056259482-Payment from Phone,375056259482,26/11/2023,367.41,,106811.64
27/11/2023,UPI-STARBUCKS COFFEE-starbucksin@icici-ICIC0000550-271784640828-Payment,271784640828,27/11/2023,429.95,,106381.69
27/11/2023,UPI-AUTO RICKSHAW-autofare.delhi@okhdfcbank-HDFC0003344-386217245096-Payment from Phone,386217245096,27/11/2023,25.16,,106356.53
27/11/2023,UPI-CROMA RETAIL-cromaretail@icici-ICIC0000890-418140223733-UPI,418140223733,27/11/2023,903.91,,105452.62
28/11/2023,UPI-OLA CABS-olacabs@icici-ICIC0000410-285684451633-UPI,285684451633,28/11/2023,111.38,,105341.24
28/11/2023,UPI-CAFE COFFEE DAY-ccd.payments@ybl-YESB0000132-317669998507-UPI,317669998507,28/11/2023,327.74,,105013.50
28/11/2023,UPI-GOIBIBO-goibibo@hdfcbank-HDFC0000921-215280138923-Payment from Phone,215280138923,28/11/2023,1209.31,,103804.19
28/11/2023,UPI-SWIGGY-swiggy.instamart@icici-ICIC0000104-471826931400-Payment from Phone,471826931400,28/11/2023,240.95,,103563.24
28/11/2023,UPI-CAFE COFFEE DAY-ccd.payments@ybl-YESB0000132-202110826315-Order Payment,202110826315,28/11/2023,160.47,,103402.77
29/11/2023,UPI-CHAI POINT-chaipoint@ybl-YESB0000601-482058432437-Payment,482058432437,29/11/2023,21.92,,103380.85
29/11/2023,UPI-CAFE COFFEE DAY-ccd.payments@ybl-YESB0000132-381489333043-UPI,381489333043,29/11/2023,400.55,,102980.30
29/11/2023,UPI-AUTO RICKSHAW-autofare.delhi@okhdfcbank-HDFC0003344-366418270525-UPI,366418270525,29/11/2023,48.75,,102931.55
30/11/2023,UPI-RAPIDO-rapido@ybl-YESB0000091-480104049162-Payment from Phone,480104049162,30/11/2023,126.36,,102805.19
01/12/2023,UPI-OXFORD BOOKSTORE-oxfordbooks.cp@sbi-SBIN0003321-203995004351-Order Payment,203995004351,01/12/2023,838.31,,101966.88
01/12/2023,UPI-GUPTA KIRANA STORE-guptakirana@oksbi-SBIN0004521-239722084278-Payment from Phone,239722084278,01/12/2023,517.72,,101449.16
01/12/2023,UPI-DMART READY-dmartready@ybl-YESB0000045-418975598255-UPI,418975598255,01/12/2023,603.96,,100845.20
02/12/2023,NEFT CR-SBINN5006651823819-TECHNOVA SOFTWARE SOLUTIONS PVT LTD-SALARY-DEC23,SBINN5006651823819,02/12/2023,,102808.00,203653.20
02/12/2023,UPI-ZOMATO-zomato-order@ybl-YESB0000002-350650700226-Payment,350650700226,02/12/2023,218.80,,203434.40
03/12/2023,UPI-PARKING FEE-smartparking@paytm-PYTM0002211-209749862830-Payment,209749862830,03/12/2023,82.48,,203351.92
03/12/2023,UPI-BLINKIT-blinkit.payments@axisbank-UTIB0000123-216289791018-Payment,216289791018,03/12/2023,752.57,,202599.35
03/12/2023,UPI-AIRTEL BROADBAND-airtelbroadband@ybl-YESB0000998-216918894713-BillPayment,216918894713,03/12/2023,1056.67,,201542.68
03/12/2023,UPI-AIRTEL POSTPAID-airtel.postpaid@icici-ICIC0000112-345901759650-BillPayment,345901759650,03/12/2023,529.36,,201013.32
04/12/2023,UPI-RAJESH KUMAR VERMA-rajeshverma78@oksbi-SBIN0001122-419872818231-Rent DEC23,419872818231,04/12/2023,18500.00,,182513.32
04/12/2023,UPI-ZOMATO-zomato-order@ybl-YESB0000002-296260629194-Payment from Phone,296260629194,04/12/2023,96.47,,182416.85
04/12/2023,UPI-PARKING FEE-smartparking@paytm-PYTM0002211-465080531782-UPI,465080531782,04/12/2023,86.95,,182329.90
04/12/2023,UPI-AUTO RICKSHAW-autofare.delhi@okhdfcbank-HDFC0003344-447775268308-Payment from Phone,447775268308,04/12/2023,37.20,,182292.70
05/12/2023,UPI-THE COFFEE HOUSE-thecoffeehouse@okaxis-UTIB0000789-354821951123-Order Payment,354821951123,05/12/2023,498.50,,181794.20
05/12/2023,ACH D-CULT FITNESS-MEMBERSHIP-CULTFIT378361,CULTFIT140115,05/12/2023,1499.00,,180295.20
05/12/2023,UPI-ZOMATO-zomato-order@ybl-YESB0000002-498719373749-UPI,498719373749,05/12/2023,253.96,,180041.24
05/12/2023,UPI-BIGBASKET-bigbasket@hdfcbank-HDFC0000001-476353029619-UPI,476353029619,05/12/2023,477.45,,179563.79
05/12/2023,UPI-DMART READY-dmartready@ybl-YESB0000045-380979792138-Order Payment,380979792138,05/12/2023,479.59,,179084.20
05/12/2023,UPI-ZOMATO-zomato-order@ybl-YESB0000002-362209375437-UPI,362209375437,05/12/2023,205.62,,178878.58
05/12/2023,UPI-BARBEQUE NATION-bbqnation@icici-ICIC0000633-275478434951-UPI,275478434951,05/12/2023,564.33,,178314.25
06/12/2023,ACH D-HDFC LTD-HOMELOAN EMI-HDFCLTD47393469,HDFCLTD47393469,06/12/2023,17500.00,,160814.25
06/12/2023,UPI-SHREYA SHARMA-shreya533@okhdfcbank-YESB0000789-337456307293-Loan Return,337456307293,06/12/2023,978.75,,159835.50
06/12/2023,UPI-SNEHA REDDY-sneha148@okhdfcbank-SBIN0002211-364953028830-Gift,364953028830,06/12/2023,1158.82,,158676.68
06/12/2023,UPI-CROMA RETAIL-cromaretail@icici-ICIC0000890-418267493083-UPI,418267493083,06/12/2023,1351.46,,157325.22
06/12/2023,UPI-STREET FOOD STALL-streetfoodstall@ybl-YESB0000722-364104036351-Payment,364104036351,06/12/2023,69.76,,157255.46
06/12/2023,UPI-PARKING FEE-smartparking@paytm-PYTM0002211-432439132935-Order Payment,432439132935,06/12/2023,87.61,,157167.85
06/12/2023,UPI-DELHI METRO RAIL CORP-dmrcqr@sbi-SBIN0000556-306314695282-Payment from Phone,306314695282,06/12/2023,197.95,,156969.90
07/12/2023,UPI-PARKING FEE-smartparking@paytm-PYTM0002211-317902001899-Payment,317902001899,07/12/2023,108.40,,156861.50
07/12/2023,ACH D-CAMS NPCI-ICICI PRU MF SIP-12345573,12345573,07/12/2023,6000.00,,150861.50
07/12/2023,UPI-ZOMATO-zomato-order@ybl-YESB0000002-469229372860-Payment from Phone,469229372860,07/12/2023,197.34,,150664.16
07/12/2023,POS 434358XXXXXX8449 FLIPKART BENGALURU,434358XXXXXX8449,08/12/2023,307.64,,150356.52
07/12/2023,UPI-RAPIDO-rapido@ybl-YESB0000091-337572270637-Payment,337572270637,07/12/2023,196.09,,150160.43
08/12/2023,UPI-STARBUCKS COFFEE-starbucksin@icici-ICIC0000550-486466658831-Payment,486466658831,08/12/2023,509.41,,149651.02
08/12/2023,ECOM PUR/434358XXXXXX8119/NETFLIX.COM,434358XXXXXX8119,08/12/2023,649.00,,149002.02
08/12/2023,UPI-SHARMA GENERAL STORE-sharmagenstore@paytm-PYTM0123456-433351653160-Payment from Phone,433351653160,08/12/2023,697.49,,148304.53
08/12/2023,UPI-PAAN SHOP-paanshop.corner@okicici-ICIC0002233-352313198209-Payment,352313198209,08/12/2023,60.63,,148243.90
08/12/2023,UPI-AMIT SINGH-amit494@okaxis-ICIC0000345-410477846618-Loan Return,410477846618,08/12/2023,1006.59,,147237.31
09/12/2023,UPI-OLA CABS-olacabs@icici-ICIC0000410-276774829536-Payment from Phone,276774829536,09/12/2023,110.69,,147126.62
09/12/2023,UPI-STREET FOOD STALL-streetfoodstall@ybl-YESB0000722-344127800155-Payment,344127800155,09/12/2023,28.68,,147097.94
09/12/2023,ACH D-CAMS NPCI-HDFC MF SIP-56786753,56786753,09/12/2023,4000.00,,143097.94
09/12/2023,UPI-FLIPKART-flipkart@axisbank-UTIB0000456-278178915722-Order Payment,278178915722,09/12/2023,452.70,,142645.24
09/12/2023,UPI-PVR CINEMAS-pvrcinemas@hdfcbank-HDFC0000456-499079326090-Payment from Phone,499079326090,09/12/2023,250.49,,142394.75
09/12/2023,POS 477845XXXXXX1387 BOOKMYSHOW BENGALURU,477845XXXXXX1387,10/12/2023,431.81,,141962.94
09/12/2023,NWD-477845XXXXXX1199-SBIN0001234-ATM CASH WDL,477845XXXXXX1199,09/12/2023,500.00,,141462.94
09/12/2023,UPI-LOCAL VEGETABLE VENDOR-vegvendor.rk@oksbi-SBIN0008812-247524566220-Order Payment,247524566220,09/12/2023,53.63,,141409.31
10/12/2023,UPI-GUPTA KIRANA STORE-guptakirana@oksbi-SBIN0004521-499045815894-Payment from Phone,499045815894,10/12/2023,169.33,,141239.98
10/12/2023,UPI-SWIGGY-swiggy.instamart@icici-ICIC0000104-465689192446-UPI,465689192446,10/12/2023,252.10,,140987.88
10/12/2023,UPI-STREET FOOD STALL-streetfoodstall@ybl-YESB0000722-324286082363-Order Payment,324286082363,10/12/2023,85.34,,140902.54
10/12/2023,UPI-FLIPKART-flipkart@axisbank-UTIB0000456-405861132500-Payment,405861132500,10/12/2023,243.08,,140659.46
10/12/2023,ACH D-LIC OF INDIA-PREMIUM-LICPOL704596,LICPOL299312,10/12/2023,20037.78,,120621.68
10/12/2023,UPI-LOCAL VEGETABLE VENDOR-vegvendor.rk@oksbi-SBIN0008812-481224530282-Payment from Phone,481224530282,10/12/2023,60.99,,120560.69
11/12/2023,UPI-AGGARWAL TAILORS-aggarwaltailors@okicici-ICIC0001188-458287596510-Order Payment,458287596510,11/12/2023,373.26,,120187.43
11/12/2023,UPI-STREET FOOD STALL-streetfoodstall@ybl-YESB0000722-461771796828-Payment,461771796828,11/12/2023,37.74,,120149.69
11/12/2023,UPI-KARAN MEHTA-karan662@apl-ICIC0000345-356857610835-Payment,356857610835,11/12/2023,174.15,,119975.54
11/12/2023,UPI-GUPTA KIRANA STORE-guptakirana@oksbi-SBIN0004521-337709254540-Order Payment,337709254540,11/12/2023,339.69,,119635.85
12/12/2023,UPI-ANIL SINGH-anil580@oksbi-SBIN0002211-371679895992-Rent Split,371679895992,12/12/2023,,171.39,119807.24
12/12/2023,UPI-RAPIDO-rapido@ybl-YESB0000091-400514755835-Order Payment,400514755835,12/12/2023,163.77,,119643.47
13/12/2023,UPI-HP PETROL PUMP SEC-15-hppcl.sec15@icici-ICIC0000772-388250088468-UPI,388250088468,13/12/2023,612.32,,119031.15
14/12/2023,UPI-BHARAT PETROLEUM-bharatpetro@hdfcbank-HDFC0000899-241257386085-Order Payment,241257386085,14/12/2023,1189.24,,117841.91
14/12/2023,ECOM PUR/400123XXXXXX6139/AMAZON PRIME,400123XXXXXX6139,14/12/2023,179.00,,117662.91
14/12/2023,UPI-SWIGGY-swiggy.instamart@icici-ICIC0000104-341450976915-Payment,341450976915,14/12/2023,199.69,,117463.22
14/12/2023,UPI-CAFE COFFEE DAY-ccd.payments@ybl-YESB0000132-226910981786-Payment,226910981786,14/12/2023,281.32,,117181.90
15/12/2023,POS 477845XXXXXX1981 CROMA RETAIL NEW DELHI,477845XXXXXX1981,16/12/2023,1540.85,,115641.05
15/12/2023,UPI-SURESH KUMAR-suresh441@oksbi-ICIC0000345-349257529075-Rent Split,349257529075,15/12/2023,300.64,,115340.41
15/12/2023,UPI-BSES RAJDHANI POWER-bsesrajdhani@sbi-SBIN0000441-495681273229-ElectricityBill,495681273229,15/12/2023,2316.93,,113023.48
15/12/2023,UPI-SWIGGY-swiggy.instamart@icici-ICIC0000104-350625705571-Payment from Phone,350625705571,15/12/2023,117.09,,112906.39
16/12/2023,UPI-PARKING FEE-smartparking@paytm-PYTM0002211-469764964567-Payment from Phone,469764964567,16/12/2023,26.04,,112880.35
16/12/2023,UPI-TEA STALL-teastall.corner@oksbi-SBIN0009911-317880381965-UPI,317880381965,16/12/2023,77.12,,112803.23
16/12/2023,UPI-APOLLO PHARMACY-apollopharmacy@hdfcbank-HDFC0000678-298319898179-UPI,298319898179,16/12/2023,250.15,,112553.08
16/12/2023,UPI-STREET FOOD STALL-streetfoodstall@ybl-YESB0000722-209973257740-Payment,209973257740,16/12/2023,98.18,,112454.90
16/12/2023,UPI-TEA STALL-teastall.corner@oksbi-SBIN0009911-409382637183-Payment from Phone,409382637183,16/12/2023,81.24,,112373.66
17/12/2023,UPI-TEA STALL-teastall.corner@oksbi-SBIN0009911-313404343609-UPI,313404343609,17/12/2023,17.74,,112355.92
17/12/2023,UPI-SWIGGY-swiggy.instamart@icici-ICIC0000104-461467861846-Payment from Phone,461467861846,17/12/2023,139.00,,112216.92
18/12/2023,POS 477845XXXXXX1820 CROMA RETAIL NOIDA,477845XXXXXX1820,19/12/2023,312.26,,111904.66
18/12/2023,UPI-STREET FOOD STALL-streetfoodstall@ybl-YESB0000722-463109091348-UPI,463109091348,18/12/2023,35.49,,111869.17
18/12/2023,UPI-UDEMY-udemy@apl-AIRP0000045-220812992989-Payment,220812992989,18/12/2023,862.76,,111006.41
18/12/2023,UPI-ARJUN GUPTA-arjun301@oksbi-UTIB0000567-302718278412-Rent Split,302718278412,18/12/2023,,232.49,111238.90
18/12/2023,UPI-CHAI POINT-chaipoint@ybl-YESB0000601-438331847563-Payment,438331847563,18/12/2023,67.17,,111171.73
19/12/2023,UPI-PAAN SHOP-paanshop.corner@okicici-ICIC0002233-226487068760-Payment,226487068760,19/12/2023,60.45,,111111.28
19/12/2023,UPI-PARKING FEE-smartparking@paytm-PYTM0002211-335130001455-Payment,335130001455,19/12/2023,96.17,,111015.11
19/12/2023,UPI-CHAI POINT-chaipoint@ybl-YESB0000601-274635472498-Payment from Phone,274635472498,19/12/2023,34.82,,110980.29
19/12/2023,ECOM PUR/489562XXXXXX9379/HOTSTAR,489562XXXXXX9379,19/12/2023,299.00,,110681.29
19/12/2023,UPI-PAAN SHOP-paanshop.corner@okicici-ICIC0002233-266717821508-Payment,266717821508,19/12/2023,87.28,,110594.01
19/12/2023,UPI-PAAN SHOP-paanshop.corner@okicici-ICIC0002233-209604600109-UPI,209604600109,19/12/2023,64.79,,110529.22
19/12/2023,UPI-SWIGGY-swiggy.instamart@icici-ICIC0000104-376131225039-UPI,376131225039,19/12/2023,124.96,,110404.26
20/12/2023,UPI-DOMINOS PIZZA-dominos@hdfcbank-HDFC0000601-291945278159-Payment,291945278159,20/12/2023,567.19,,109837.07
20/12/2023,UPI-PARKING FEE-smartparking@paytm-PYTM0002211-427221659381-Payment,427221659381,20/12/2023,17.34,,109819.73
20/12/2023,UPI-FLIPKART-flipkart@axisbank-UTIB0000456-339324555963-Payment,339324555963,20/12/2023,385.57,,109434.16
20/12/2023,UPI-SWIGGY-swiggy.instamart@icici-ICIC0000104-437149069238-UPI,437149069238,20/12/2023,152.22,,109281.94
20/12/2023,UPI-HALDIRAM RESTAURANT-haldiram.cp@oksbi-SBIN0007744-487519221231-Order Payment,487519221231,20/12/2023,510.38,,108771.56
